"Mois";"Archipel";"Classe";"Chambres offertes";"Chambres vendues";"CMR";"RevPar";"RMC"
"février 2006";"Îles-Sous-Le-Vent";"Grand Tourisme";"9884";"3527";"0.35683933630109266";"3242.4248280048564";"9086.5117663736892"
"février 2006";"Îles-Sous-Le-Vent";"Luxe";"15579";"8126";"0.52159958919057703";"22302.992746646127";"42758.838789072113"
"février 2006";"Îles-Sous-Le-Vent";"Tourisme";"392";"118";"0.30102040816326531";"4492.4285714285716";"14924"
"mars 2006";"Autres archipels";"Grand Tourisme";"2232";"715";"0.32034050179211471";"4699.9220430107525";"14671.644755244755"
"mars 2006";"Autres archipels";"Luxe";"4415";"1949";"0.44144960362400903";"11527.81630804077";"26113.550025654182"
"mars 2006";"Autres archipels";"Tourisme";"868";"350";"0.40322580645161288";"4828.2741935483873";"11974.120000000001"
"mars 2006";"Îles Du Vent";"Grand Tourisme";"2287";"1160";"0.5072146917358985";"6173.2566681241806";"12170.894827586208"
"mars 2006";"Îles Du Vent";"Luxe";"41044";"26404";"0.64330961894552185";"11409.901885781113";"17736.252575367369"
"mars 2006";"Îles Du Vent";"Tourisme";"4743";"3258";"0.68690702087286526";"6987.9188277461526";"10173.019950890117"
"mars 2006";"Îles-Sous-Le-Vent";"Grand Tourisme";"10943";"4636";"0.42364982180389288";"4081.3723841725305";"9633.8347713546154"
"mars 2006";"Îles-Sous-Le-Vent";"Luxe";"17284";"10012";"0.57926405924554503";"24355.519092802591";"42045.624450659212"
"mars 2006";"Îles-Sous-Le-Vent";"Tourisme";"1133";"264";"0.23300970873786409";"6292.4404236540158";"27005.05681818182"
"avril 2006";"Autres archipels";"Grand Tourisme";"2160";"848";"0.3925925925925926";"5090.0986111111115";"12965.345518867925"
"avril 2006";"Autres archipels";"Luxe";"4280";"2012";"0.47009345794392521";"12998.216121495327";"27650.280815109345"
"avril 2006";"Autres archipels";"Tourisme";"840";"289";"0.34404761904761905";"4085.777380952381";"11875.615916955017"
"avril 2006";"Îles Du Vent";"Grand Tourisme";"2520";"1172";"0.46507936507936509";"5881.7714285714283";"12646.812286689419"
"avril 2006";"Îles Du Vent";"Luxe";"39840";"28464";"0.71445783132530116";"12576.543975903614";"17602.91989881956"
"avril 2006";"Îles Du Vent";"Tourisme";"4590";"3211";"0.69956427015250544";"5619.4773420479305";"8032.8249766427907"
